claim_id,contract_id,occurrence_date,declaration_date,claim_type,damage_amount,indemnified_amount,status,expert_id,liability
CLM_0000001,CTR_008899,2023-11-26,2023-02-10,Theft,15213.03,10977.27,Closed,EXP_013,Third_party
CLM_0000002,CTR_001770,2023-06-26,2026-08-01,Fire,2321.55,0.0,Expert_review,EXP_013,Third_party
CLM_0000003,CTR_002653,2023-06-26,2026-08-01,Fire,1762.45,1030.68,Closed,EXP_001,Third_party
CLM_0000004,CTR_002271,2023-06-26,2026-08-01,Collision,0.0,2119.97,Closed,Unassigned,Insured
CLM_0000005,CTR_000649,2023-06-26,2025-12-04,Collision,3715.18,0.0,Expert_review,EXP_007,Third_party
CLM_0000006,CTR_001670,2023-06-26,2024-10-03,Glass_damage,483.92,139.34,Closed,EXP_001,Third_party
CLM_0000007,CTR_007614,2023-06-26,2026-08-01,Glass_damage,210.13,0.0,In_progress,EXP_014,Third_party
CLM_0000008,CTR_007076,2023-06-26,2024-01-10,Theft,13896.38,12720.93,Closed,EXP_007,Pending_Evaluation
CLM_0000009,CTR_000327,2023-06-26,2026-08-01,Glass_damage,561.75,0.0,In_progress,Unassigned,Insured
CLM_0000010,CTR_001314,2023-06-26,2026-08-01,Theft,12836.6,0.0,Rejected,EXP_015,Third_party
CLM_0000011,CTR_014629,2023-06-26,2025-10-06,Glass_damage,416.05,0.0,Expert_review,EXP_013,Third_party
CLM_0000012,CTR_001941,2023-06-26,2026-08-01,Collision,1800.12,0.0,Rejected,EXP_007,Pending_Evaluation
CLM_0000013,CTR_000100,2023-06-26,2026-08-01,Vandalism,3015.27,0.0,In_progress,EXP_003,Insured
CLM_0000014,CTR_007351,2023-06-26,2026-08-01,Glass_damage,545.72,0.0,Open,EXP_015,Third_party
CLM_0000015,CTR_007404,2023-06-26,2025-08-04,Glass_damage,207.95,0.0,In_progress,EXP_001,Insured
CLM_0000016,CTR_001303,2023-06-26,2026-08-01,Theft,11538.69,0.0,In_progress,EXP_006,Shared
CLM_0000017,CTR_005753,2023-06-26,2026-08-01,Glass_damage,411.66,0.0,Rejected,EXP_005,Third_party
CLM_0000018,CTR_002590,2023-06-26,2025-09-03,Vandalism,1814.06,0.0,Open,Unassigned,Pending_Evaluation
CLM_0000019,CTR_014523,2023-06-26,2026-08-01,Glass_damage,426.22,0.0,Closed,EXP_015,Pending_Evaluation
CLM_0000020,CTR_003887,2023-06-26,2026-08-01,Vandalism,1640.4,0.0,Rejected,EXP_017,Pending_Evaluation
CLM_0000021,CTR_004007,2023-06-26,2026-08-01,Collision,5274.03,4287.87,Closed,EXP_006,Shared
CLM_0000022,CTR_011968,2023-06-26,2026-08-01,Glass_damage,301.36,0.0,Rejected,EXP_005,Pending_Evaluation
CLM_0000023,CTR_013061,2023-06-26,2024-09-01,Theft,8979.43,8653.23,Closed,EXP_018,Pending_Evaluation
CLM_0000024,CTR_003544,2023-06-26,2026-08-01,Theft,19682.88,15416.79,Closed,Unassigned,Shared
CLM_0000025,CTR_014145,2023-06-26,2026-08-01,Collision,2924.95,0.0,Open,EXP_015,Shared
CLM_0000026,CTR_003713,2023-06-26,2026-08-01,Vandalism,1589.0,0.0,In_progress,EXP_001,Shared
CLM_0000027,CTR_001589,2023-06-26,2026-08-01,Glass_damage,335.68,0.0,In_progress,EXP_006,Pending_Evaluation
CLM_0000028,CTR_014227,2023-06-26,2026-08-01,Collision,5263.28,0.0,Expert_review,EXP_011,Insured
