contract_id,brand,model,year,fuel_type,current_value,color,usage,previous_claims,power_hp
CTR_000003,BMW,Serie1,2022,Gasoline,29567.77,Gray,Mixed,0,128
CTR_000005,Renault,Megane,2024,Hybrid,14873.92,Black,Personal,0,150
CTR_000012,Peugeot,208,2020,Hybrid,8362.3,White,Professional,2,175
CTR_000015,Renault,Captur,2024,Electric,14849.3,Unknown,Mixed,1,135
CTR_000016,Renault,Megane,2020,Gasoline,14522.08,Blue,Personal,1,176
CTR_000018,Renault,Megane,2018,Diesel,5563.73,Blue,Personal,0,122
CTR_000019,Mercedes,ClasseA,2022,Electric,8418.145,Black,Professional,3,106
CTR_000022,Renault,Captur,2012,Hybrid,5771.16,Black,Personal,1,183
CTR_000023,Renault,Clio,2016,Hybrid,5183.74,White,Mixed,2,120
CTR_000024,Renault,Megane,2024,Electric,15717.85,White,Personal,1,135
CTR_000026,Peugeot,308,2024,Hybrid,14083.82,Gray,Personal,0,85
CTR_000029,Peugeot,3008,2021,Hybrid,9184.95,White,Mixed,0,99
CTR_000031,Renault,Captur,2010,Diesel,5874.58,Gray,Mixed,1,135
CTR_000032,Renault,Megane,2023,Hybrid,12920.99,Blue,Professional,1,135
CTR_000035,Peugeot,3008,2012,Electric,4635.47,Black,Professional,0,183
CTR_000040,BMW,Serie1,2022,Gasoline,22154.16,White,Professional,0,135
CTR_000041,Volkswagen,Polo,2011,Gasoline,4868.71,Red,Mixed,0,192
CTR_000043,Peugeot,308,2021,Diesel,10940.48,Black,Mixed,0,118
CTR_000045,Renault,Megane,2024,Gasoline,12608.02,White,Professional,1,139
CTR_000046,Volkswagen,Golf,2022,Gasoline,17390.55,White,Professional,2,160
CTR_000047,Renault,Captur,2018,Hybrid,4323.29,Blue,Mixed,2,135
CTR_000048,Peugeot,3008,2020,Gasoline,6645.39,Black,Professional,3,138
CTR_000054,Renault,Megane,2019,Electric,5836.75,Red,Personal,1,97
CTR_000056,BMW,Serie1,2024,Gasoline,39264.93,Red,Personal,0,130
CTR_000057,Peugeot,308,2018,Gasoline,5560.11,Unknown,Mixed,1,98
CTR_000060,Volkswagen,Polo,2019,Diesel,8139.55,Red,Mixed,0,135
CTR_000061,Peugeot,208,2024,Electric,15832.15,Blue,Personal,0,80
CTR_000064,Volkswagen,Golf,2022,Diesel,13729.85,Red,Mixed,1,200
CTR_000066,Renault,Clio,2020,Electric,8418.145,White,Mixed,2,128
CTR_000070,Renault,Captur,2024,Gasoline,12363.13,Black,Professional,1,108
CTR_000074,Volkswagen,Polo,2023,Electric,20615.64,Red,Mixed,0,142
CTR_000078,Renault,Captur,2018,Diesel,5356.11,Gray,Professional,0,117
CTR_000080,Mercedes,ClasseA,2024,Gasoline,41034.3,Blue,Personal,0,173
CTR_000087,Renault,Clio,2012,Hybrid,8418.145,Black,Professional,2,135
CTR_000103,Volkswagen,Polo,2015,Gasoline,4817.96,Blue,Professional,1,159
CTR_000107,Volkswagen,Golf,2019,Hybrid,8896.69,Black,Mixed,3,163
CTR_000111,Peugeot,308,2018,Gasoline,4926.7,Red,Mixed,0,100
CTR_000113,BMW,Serie1,2020,Electric,11921.6,Red,Mixed,0,133
CTR_000115,Renault,Captur,2021,Diesel,8269.56,Blue,Professional,3,116
CTR_000117,Peugeot,208,2021,Hybrid,10730.77,Red,Personal,3,119
CTR_000118,Volkswagen,Polo,2020,Hybrid,11993.76,White,Professional,0,99
CTR_000120,Peugeot,308,2020,Gasoline,7532.81,White,Mixed,0,189
CTR_000122,Renault,Megane,2020,Electric,8099.02,Red,Personal,1,110
CTR_000127,Volkswagen,Polo,2017,Diesel,4664.45,Blue,Professional,0,141
CTR_000129,Peugeot,208,2024,Electric,15052.74,Blue,Personal,1,199
CTR_000131,Renault,Megane,2020,Diesel,5882.78,White,Personal,0,73
CTR_000137,Renault,Megane,2020,Diesel,7897.33,White,Personal,0,192
CTR_000138,Volkswagen,Tiguan,2020,Hybrid,11309.84,White,Professional,2,162
CTR_000141,Peugeot,308,2022,Gasoline,9576.93,Blue,Personal,2,115
CTR_000142,Volkswagen,Polo,2021,Electric,12077.08,Red,Mixed,0,135
CTR_000143,Volkswagen,Polo,2021,Diesel,8418.145,Unknown,Personal,1,197
CTR_000147,Volkswagen,Tiguan,2010,Hybrid,5548.21,Unknown,Personal,0,179
CTR_000154,Volkswagen,Polo,2023,Hybrid,21866.01,Blue,Mixed,0,135
CTR_000158,Renault,Clio,2022,Gasoline,11572.0,Red,Professional,2,135
CTR_000162,Renault,Clio,2013,Hybrid,4431.69,Red,Mixed,1,135
CTR_000163,Peugeot,308,2014,Diesel,4712.68,Blue,Personal,2,116
CTR_000168,Renault,Captur,2022,Hybrid,9564.52,Unknown,Personal,3,90
CTR_000173,Peugeot,3008,2017,Gasoline,5274.37,Unknown,Professional,3,140
CTR_000175,Peugeot,3008,2017,Gasoline,5294.7,Blue,Professional,1,135
CTR_000176,Peugeot,308,2023,Gasoline,10645.37,Red,Professional,0,152
CTR_000177,Peugeot,3008,2010,Electric,5463.42,Black,Personal,2,110
CTR_000179,Peugeot,3008,2024,Diesel,13377.06,Blue,Mixed,1,135
CTR_000180,Peugeot,308,2015,Diesel,5602.75,White,Mixed,1,124
CTR_000181,Peugeot,308,2021,Diesel,8418.145,White,Mixed,3,189
CTR_000184,Peugeot,208,2021,Gasoline,10740.39,White,Professional,3,183
CTR_000185,Peugeot,308,2021,Electric,9247.15,Unknown,Personal,1,168
CTR_000186,Renault,Captur,2020,Hybrid,6838.26,Gray,Professional,1,135
CTR_000187,Peugeot,208,2010,Electric,4870.24,Unknown,Personal,3,105
CTR_000188,Peugeot,208,2012,Hybrid,5054.47,Blue,Professional,1,195
CTR_000190,Volkswagen,Golf,2020,Electric,9359.67,Unknown,Professional,0,71
