product,risk_zone,Total_Contracts,Total_Premium,Total_Claims_Paid,Total_Damage,Claim_Count,Loss_Ratio_%
Auto,High,1757,2000967.635,20436.01,118438.78,38,1.02
Auto,Low,1887,1176003.14,84173.58,189250.07,44,7.16
Auto,Medium,2702,2213535.58,55930.600000000006,184587.07,54,2.53
Health,High,469,635730.81,0.0,0.0,0,0.0
Health,Low,478,652772.7,0.0,0.0,0,0.0
Health,Medium,738,983737.495,0.0,0.0,0,0.0
Home,High,1286,743073.58,23377.02,33726.1,4,3.15
Home,Low,1248,409108.175,28048.95,32044.13,3,6.86
Home,Medium,1872,790499.055,7943.11,99560.58,12,1.0
Life,High,736,1318623.55,0.0,0.0,0,0.0
Life,Low,710,1257229.435,0.0,0.0,0,0.0
Life,Medium,1117,2013495.245,0.0,0.0,0,0.0
